SEQ1	SEQ2	SCORE	dN	dS	OMEGA	N	S	kappa	t	LENGTH
BTJ68_01490-T1	BTJ68_06350-T1	1091	0.017098	0.406191	0.042094	552.127254	185.872746	1.866982	0.345286	481
BTJ68_00098-T1	BTJ68_01300-T1	3062	0.015664	0.354234	0.044221	1064.618998	333.381002	2.418669	0.289209	471
BTJ68_07236-T1	BTJ68_12030-T1	6828	0.011222	0.326683	0.034351	2424.579748	653.420252	2.853894	0.234571	1029
BTJ68_03213-T1	BTJ68_07310-T1	1649	0.025046	0.156893	0.159636	528.254761	251.745239	6.179084	0.202799	260
BTJ68_06110-T1	BTJ68_14182-T1	5360	0.023570	0.445147	0.052949	2015.932294	501.067706	0.675649	0.322484	867
BTJ68_04059-T1	BTJ68_04228-T1	4710	0.020586	0.276867	0.074352	1585.646685	649.353315	3.345121	0.285136	747
BTJ68_06452-T1	BTJ68_08053-T1	2165	0.036684	0.193692	0.189392	769.514175	280.485825	3.329709	0.235875	350
BTJ68_08040-T1	BTJ68_10642-T1	3415	0.024124	0.325351	0.074148	1207.657483	436.342517	1.999895	0.312222	551
BTJ68_06764-T1	BTJ68_09448-T1	1985	0.037838	0.499736	0.075715	677.859803	273.140197	3.005439	0.511504	317
BTJ68_07228-T1	BTJ68_12038-T1	1954	0.034879	0.647189	0.053893	763.369347	148.630653	1.991469	0.404005	307
BTJ68_07816-T1	BTJ68_12610-T1	6340	0.061522	0.314996	0.195312	2337.446919	995.553081	4.151573	0.411701	1189
BTJ68_00552-T1	BTJ68_14092-T1	4772	0.009093	0.270831	0.033575	1549.583254	592.416746	3.427770	0.244448	721
BTJ68_01913-T1	BTJ68_13367-T1	6351	0.006562	0.222314	0.029518	2143.032698	793.967302	3.559965	0.194661	979
BTJ68_07919-T1	BTJ68_14600-T1	5010	0.032782	0.251629	0.130278	1763.209428	645.790572	2.901215	0.274347	952
BTJ68_09087-T1	BTJ68_10113-T1	3351	0.024542	0.543900	0.045121	1222.247937	253.752063	2.321756	0.341487	492
BTJ68_09841-T1	BTJ68_14012-T1	2713	0.051465	0.341029	0.150911	957.899212	374.100788	4.014206	0.398372	481
BTJ68_05205-T1	BTJ68_11816-T1	3429	0.032621	0.691238	0.047192	1383.702258	383.297742	1.334840	0.526465	757
BTJ68_13033-T1	BTJ68_13520-T1	4650	0.007155	0.293096	0.024412	1615.050072	415.949928	1.838687	0.197148	677
