SEQ1	SEQ2	SCORE	dN	dS	OMEGA	N	S	kappa	t	LENGTH
B0A55_03629-T1	B0A55_11764-T1	5387	0.005422	0.179396	0.030222	1851.336864	608.663136	2.862205	0.145402	840
B0A55_02312-T1	B0A55_06528-T1	1659	0.175974	0.327008	0.538134	1076.627120	354.372880	1.311287	0.640129	750
B0A55_05060-T1	B0A55_10704-T1	2005	0.026444	0.089420	0.295728	757.777021	160.222979	2.842596	0.112307	307
B0A55_05536-T1	B0A55_11690-T1	1418	0.016893	0.273127	0.061851	601.108274	139.891726	15.324606	0.195801	341
B0A55_09490-T1	B0A55_10580-T1	1287	0.026769	0.090768	0.294921	495.743662	200.256338	6.001731	0.135550	273
B0A55_03353-T1	B0A55_10607-T1	286	0.000000	0.309581	0.000010	176.278297	12.721703	4.097156	0.062514	114
B0A55_09384-T1	B0A55_10904-T1	474	0.003768	0.208211	0.018095	532.179491	73.820509	0.509681	0.086016	620
B0A55_04128-T1	B0A55_04130-T1	2610	0.014739	0.129325	0.113972	1029.020513	368.979487	4.225201	0.134947	646
B0A55_02306-T1	B0A55_12879-T1	3661	0.009156	0.131468	0.069643	1429.421571	508.578429	6.943648	0.123761	844
B0A55_08033-T1	B0A55_10740-T1	3729	0.030799	0.139249	0.221181	1279.371669	493.628331	5.001031	0.182979	593
B0A55_00134-T1	B0A55_00135-T1	-236	0.890599	3.286874	0.270956	787.655287	214.344713	1.201125	4.209607	578
B0A55_07447-T1	B0A55_10317-T1	1397	0.029013	0.136448	0.212626	597.648951	173.351049	2.142044	0.159505	352
B0A55_10178-T1	B0A55_12941-T1	2459	0.003605	0.042233	0.085370	834.085795	317.914205	3.956884	0.042796	404
B0A55_07780-T1	B0A55_10544-T1	-843	0.006124	0.076614	0.079938	327.898181	110.101819	1.711142	0.071531	1062
B0A55_06375-T1	B0A55_12395-T1	3946	0.009842	0.124239	0.079220	1330.064236	484.935764	2.357828	0.121221	694
B0A55_10448-T1	B0A55_10802-T1	1180	0.080468	0.154769	0.519925	636.366313	287.633687	3.474233	0.310792	563
B0A55_09557-T1	B0A55_09558-T1	515	0.002570	0.193863	0.013255	389.812315	18.187685	4.600000	0.033291	337
B0A55_02771-T1	B0A55_12581-T1	2915	0.075061	0.231526	0.324200	1172.617687	414.382313	2.386642	0.347746	592
B0A55_01246-T1	B0A55_11448-T1	5495	0.014453	0.186108	0.077657	2062.628179	556.371821	4.166693	0.152755	873
B0A55_03042-T1	B0A55_10907-T1	4198	0.088552	0.790416	0.112033	1753.142269	700.857731	2.813180	0.867010	926
B0A55_01888-T1	B0A55_01889-T1	-771	0.626093	2.924675	0.214073	181.618934	49.381066	1.073585	3.352388	500
B0A55_03046-T1	B0A55_09789-T1	10126	0.022618	0.099842	0.226537	3615.031394	1346.968606	3.003240	0.130742	1842
B0A55_08310-T1	B0A55_12253-T1	430	0.000000	0.000000	99.000000	146.571293	42.428707	4.600000	0.000000	64
B0A55_08808-T1	B0A55_12131-T1	2078	0.019641	0.097633	0.201175	724.347725	265.652275	6.905119	0.121708	331
B0A55_00995-T1	B0A55_03066-T1	3350	0.010716	0.184705	0.058020	1270.477885	331.522115	9.354171	0.140166	628
B0A55_07934-T1	B0A55_08846-T1	1358	0.074540	1.081528	0.068921	546.545582	155.454418	3.229535	0.892597	238
B0A55_00793-T1	B0A55_11800-T1	895	0.015190	0.078386	0.193784	532.158420	148.841580	2.464440	0.087007	565
B0A55_06909-T1	B0A55_09304-T1	2502	0.032073	0.239585	0.133868	877.698582	340.301418	4.408579	0.270151	406
B0A55_08806-T1	B0A55_13510-T1	1978	0.012109	0.026482	0.457235	687.832147	221.167853	4.199207	0.046818	319
B0A55_02982-T1	B0A55_08803-T1	896	0.476751	2.789717	0.170896	750.248299	209.751701	1.389912	2.946342	343
B0A55_06845-T1	B0A55_13044-T1	2935	0.003472	0.154669	0.022446	1155.202093	182.797907	2.795788	0.072385	446
B0A55_09616-T1	B0A55_13141-T1	-1530	0.038264	0.114571	0.333977	522.918942	212.081058	1.544785	0.180847	1737
B0A55_03798-T1	B0A55_06204-T1	1818	0.038505	0.143722	0.267915	614.180898	270.819102	4.391657	0.212108	296
B0A55_02571-T1	B0A55_10213-T1	2840	0.022361	0.106553	0.209861	955.828719	397.171281	6.699645	0.141227	498
B0A55_04270-T1	B0A55_12715-T1	1724	0.013444	0.268806	0.050014	1100.874923	261.125077	1.637103	0.187208	1051
B0A55_01469-T1	B0A55_05251-T1	-1494	0.094402	1.001881	0.094225	17.196804	3.803196	4.600000	0.776252	763
B0A55_04288-T1	B0A55_11401-T1	2978	0.022619	0.079504	0.284498	1077.446518	347.553482	2.460835	0.109478	478
B0A55_01491-T1	B0A55_07344-T1	1004	0.013444	0.096704	0.139017	375.549352	89.450648	5.464208	0.088380	156
B0A55_01483-T1	B0A55_07353-T1	2426	0.021196	0.162764	0.130225	1055.285317	276.714683	7.055133	0.151817	660
B0A55_01923-T1	B0A55_12463-T1	661	0.005152	0.107175	0.048070	389.541969	81.458031	8.815094	0.068389	348
B0A55_04393-T1	B0A55_05253-T1	4146	0.064700	0.191916	0.337127	1642.211855	589.788145	3.535197	0.294947	787
B0A55_01133-T1	B0A55_13086-T1	2648	0.011208	0.155767	0.071951	1258.533763	367.466237	3.402457	0.131631	1011
B0A55_00649-T1	B0A55_12151-T1	6215	0.019409	0.117841	0.164700	2166.743560	713.256440	3.148964	0.131359	961
B0A55_04229-T1	B0A55_07577-T1	3318	0.041546	0.079545	0.522288	1134.820807	485.179193	16.806003	0.158779	543
B0A55_04793-T1	B0A55_06039-T1	3945	0.013172	0.284966	0.046224	1378.588469	391.411531	1.416994	0.219828	590
B0A55_12228-T1	B0A55_12926-T1	3778	0.016726	0.022511	0.743016	1285.042377	394.957623	1.824902	0.054258	566
B0A55_02550-T1	B0A55_12898-T1	3513	0.049936	0.139627	0.357639	1351.096099	475.903901	3.065925	0.219897	636
B0A55_05075-T1	B0A55_11887-T1	1262	0.045006	0.099686	0.451483	632.320951	231.679049	5.507146	0.179005	533
B0A55_06995-T1	B0A55_11145-T1	299	0.011629	0.158120	0.073545	390.514197	119.485803	7.484740	0.137849	548
B0A55_03637-T1	B0A55_03638-T1	184	0.654557	3.255263	0.201077	331.265536	76.734464	1.358557	3.431053	153
B0A55_07221-T1	B0A55_10770-T1	3394	0.015859	0.064312	0.246601	1784.737808	525.262192	2.260898	0.080630	1451
B0A55_04583-T1	B0A55_04584-T1	-961	0.456739	1.426963	0.320078	140.978658	39.021342	1.664131	2.001208	584
B0A55_01539-T1	B0A55_13501-T1	3272	0.009069	0.120088	0.075517	1110.139582	419.860418	5.711864	0.118603	511
B0A55_03930-T1	B0A55_12098-T1	3714	0.042163	0.158443	0.266110	1490.255444	522.744556	3.647032	0.217078	832
B0A55_03495-T1	B0A55_03499-T1	2488	0.017827	0.354614	0.050271	936.738125	323.261875	2.078032	0.312696	523
B0A55_02037-T1	B0A55_12383-T1	1104	0.255101	4.027181	0.063345	916.228621	214.771379	1.674298	2.914203	560
B0A55_00254-T1	B0A55_06550-T1	3927	0.038933	0.151306	0.257316	1468.348071	556.651929	2.975181	0.209470	747
B0A55_00242-T1	B0A55_00244-T1	-837	0.378529	0.836203	0.452675	1577.319910	441.680090	1.330173	1.435951	2038
B0A55_09386-T1	B0A55_10900-T1	-870	0.000000	0.000000	99.000000	78.671221	14.328779	4.600000	0.000000	563
B0A55_02527-T1	B0A55_06595-T1	-1250	0.005339	0.083788	0.063726	188.042798	63.957202	7.936966	0.075749	987
B0A55_03783-T1	B0A55_05747-T1	621	0.772649	4.369225	0.176839	1146.124109	338.875891	1.685546	4.780155	555
B0A55_09219-T1	B0A55_11332-T1	3918	0.005353	0.119908	0.044641	1406.775445	423.224555	8.232467	0.095538	638
B0A55_02380-T1	B0A55_05282-T1	905	0.004882	0.240704	0.020280	616.571526	121.428474	3.221140	0.131049	608
B0A55_02389-T1	B0A55_11101-T1	645	0.003851	0.074051	0.052004	260.454337	42.545663	4.600000	0.041124	101
