SEQ1	SEQ2	SCORE	dN	dS	OMEGA	N	S	kappa	t	LENGTH
B0A54_00681-T1	B0A54_01196-T1	4519	0.032449	0.448187	0.072402	1701.400261	551.599739	2.669771	0.402702	830
B0A54_02977-T1	B0A54_12528-T1	4481	0.055438	0.473338	0.117121	1676.721971	609.278029	2.871873	0.500457	785
B0A54_03711-T1	B0A54_06500-T1	1224	0.034408	0.617470	0.055725	635.003843	192.996157	3.616839	0.510938	511
B0A54_06755-T1	B0A54_17240-T1	2061	0.011676	1.557734	0.007495	820.059056	106.940944	1.716263	0.570099	309
B0A54_14943-T1	B0A54_15429-T1	2968	0.017675	0.497558	0.035524	1031.136953	276.863047	2.848221	0.357755	436
B0A54_00092-T1	B0A54_01352-T1	1999	0.062424	0.546873	0.114148	992.658942	237.341058	2.722617	0.467711	682
B0A54_13147-T1	B0A54_14067-T1	5617	0.032829	0.416357	0.078847	2138.244326	645.755674	2.064909	0.365367	974
B0A54_14727-T1	B0A54_14991-T1	6077	0.058997	0.218724	0.269734	2460.388081	713.611919	2.403102	0.284727	1240
B0A54_00494-T1	B0A54_11541-T1	1441	0.008196	0.568867	0.014408	491.229031	147.770969	6.592017	0.413560	213
B0A54_00604-T1	B0A54_01236-T1	5092	0.054776	0.537255	0.101956	1889.292879	726.707121	3.757694	0.566417	935
B0A54_01453-T1	B0A54_07653-T1	4174	0.020200	0.369354	0.054691	1456.119203	466.880797	2.931263	0.314911	668
B0A54_01506-T1	B0A54_07706-T1	1734	0.032370	0.329524	0.098233	631.722934	175.277066	3.165755	0.290732	269
B0A54_01652-T1	B0A54_09532-T1	130	0.350638	1.889355	0.185586	634.070409	217.929591	1.165945	2.232661	783
B0A54_01096-T1	B0A54_06946-T1	9130	0.027042	0.157994	0.171158	3355.802975	1222.197025	4.207092	0.186007	1707
B0A54_01846-T1	B0A54_05094-T1	2084	0.045824	0.528909	0.086639	855.139400	149.860600	1.299567	0.353578	337
B0A54_01887-T1	B0A54_04859-T1	2019	0.044541	0.520054	0.085647	876.956520	254.043480	1.976081	0.454050	512
B0A54_02421-T1	B0A54_16144-T1	1706	0.024253	0.699797	0.034657	754.412256	193.587744	2.338612	0.486610	504
B0A54_02683-T1	B0A54_08150-T1	6521	0.153102	0.351475	0.435599	2703.411337	1328.588663	3.249177	0.655406	1424
B0A54_02684-T1	B0A54_08151-T1	5779	0.137384	0.420063	0.327055	2527.978866	979.021134	3.127664	0.648892	1258
B0A54_02832-T1	B0A54_15555-T1	4474	0.021506	0.252394	0.085207	1463.916973	555.083027	3.584281	0.254951	673
B0A54_03318-T1	B0A54_11963-T1	911	0.056792	0.521051	0.108995	416.133557	108.866443	1.315717	0.459188	213
B0A54_03326-T1	B0A54_11971-T1	1416	0.020448	0.235926	0.086669	594.939192	140.060808	1.277630	0.184526	299
B0A54_04224-T1	B0A54_10023-T1	2872	0.035618	0.368335	0.096701	1078.879429	346.120571	3.215780	0.349297	493
B0A54_04697-T1	B0A54_10923-T1	2204	0.012885	0.454314	0.028362	822.455155	149.544845	1.352896	0.242401	324
B0A54_05491-T1	B0A54_13797-T1	2047	0.039645	0.304446	0.130219	760.834554	178.165446	3.948152	0.269663	315
B0A54_06267-T1	B0A54_07182-T1	5140	0.034049	0.366421	0.092923	1878.832813	626.167187	3.411130	0.351393	876
B0A54_06674-T1	B0A54_11357-T1	7840	0.031463	0.472755	0.066553	2847.020706	953.979294	2.698623	0.426657	1269
B0A54_06680-T1	B0A54_11363-T1	3631	0.014948	0.603853	0.024755	1283.900163	390.099837	2.789012	0.456550	558
B0A54_06724-T1	B0A54_11406-T1	4207	0.043635	0.427983	0.101955	1619.180196	540.819804	2.428662	0.419604	733
